URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/observation-oct-rnfl,StructureDefinition/observation-iop,StructureDefinition/observation-base,StructureDefinition/condition-base,StructureDefinition/observation-oct-macula,StructureDefinition/pupil-comparison,StructureDefinition/observation-visual-field","SCT"
http://hl7.org/fhir/ValueSet/bodystructure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.142",SNOMEDCTMorphologicAbnormalities,SNOMED CT Morphologic Abnormalities,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/body-structure-eye","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/diagnostic-report-base,StructureDefinition/diagnostic-report-oct-macula,StructureDefinition/diagnostic-report-oct-rnfl,StructureDefinition/diagnostic-report-visual-field,StructureDefinition/PupillomotoricDiagnosticReport","SCT"
http://hl7.org/fhir/ValueSet/condition-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.162",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/condition-base","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/condition-base","THO"
http://hl7.org/fhir/ValueSet/condition-severity,4.0.1,draft,"2.16.840.1.113883.4.642.3.168",Condition/DiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/condition-base","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,4.0.1,draft,"2.16.840.1.113883.4.642.3.170",ConditionStage,Condition Stage,"Example value set for stages of cancer and other conditions.","StructureDefinition/condition-base","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/condition-base","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/condition-base","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/observation-oct-rnfl,StructureDefinition/observation-iop,StructureDefinition/observation-base,StructureDefinition/pupil-diameter,StructureDefinition/observation-visual-acuity,StructureDefinition/observation-oct-macula,StructureDefinition/observation-visual-acuity-version-three,StructureDefinition/observation-visual-acuity-version-two,StructureDefinition/Posteriorsegment-narrative,StructureDefinition/pupil-comparison,StructureDefinition/observation-visual-field","THO"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.235",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","StructureDefinition/diagnostic-report-base,StructureDefinition/diagnostic-report-oct-macula,StructureDefinition/diagnostic-report-oct-rnfl,StructureDefinition/diagnostic-report-visual-field,StructureDefinition/PupillomotoricDiagnosticReport","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/diagnostic-service-sections,4.0.1,draft,"2.16.840.1.113883.4.642.3.234",DiagnosticServiceSectionCodes,Diagnostic Service Section Codes,"This value set includes all the codes in HL7 V2 table 0074.","StructureDefinition/diagnostic-report-base,StructureDefinition/diagnostic-report-oct-macula,StructureDefinition/diagnostic-report-oct-rnfl,StructureDefinition/diagnostic-report-visual-field,StructureDefinition/PupillomotoricDiagnosticReport","THO (V2)"
